"Reporting starts","Reporting ends","Ad name","Ad delivery","Amount spent (PKR)",Impressions,"CPM (cost per 1,000 impressions) (PKR)","Clicks (all)","CTR (link click-through rate)","Cost per results","Result indicator","CPC (all) (PKR)","CPC (cost per link click) (PKR)",Results,"Messaging conversations started","Results rate per link clicks","Results (initial)","Results (initial) indicator"
2026-09-10,2026-09-12,"GED Ad LEad",active,1455.54,161,9040.621118,4,0.621118,,,363.885,1455.54,,,,,
2026-09-10,2026-09-12,"September GED Ad",inactive,1167.02,135,8644.592593,1,0.740741,,,1167.02,1167.02,,,,,
